nome_completo;email;cidade_estado;profissao_contextual
Lucas Ferreira;lucas.ferreira@gmail.com;Fortaleza, CE;Engenheiro de Energia Solar
Juliana Martins;juliana.martins@outlook.com;Salvador, BA;Analista de Performance de Parques Eólicos
Carlos Eduardo Lima;carlos.lima@yahoo.com.br;Uberlândia, MG;Técnico de Manutenção de Turbinas Eólicas
Renata Souza;renata.souza@gmail.com;Recife, PE;Engenheira de Interconexão
Thiago Rocha;thiago.rocha@outlook.com;Juazeiro, BA;Gestor de O&M Solar
Fernanda Pires;fernanda.pires@yahoo.com.br;Caucaia, CE;Especialista em SCADA
André Almeida;andre.almeida@gmail.com;Montes Claros, MG;Planejador de Manutenção
Camila Duarte;camila.duarte@outlook.com;Ipojuca, PE;Analista de Projetos Solares
Marcelo Tavares;marcelo.tavares@yahoo.com.br;Feira de Santana, BA;Eletricista Fotovoltaico
Tatiane Ribeiro;tatiane.ribeiro@gmail.com;Aracati, CE;Analista de Licenciamento Ambiental – Renováveis
Bruno Costa;bruno.costa@outlook.com;Belo Horizonte, MG;Engenheiro de Energia Eólica
Patrícia Lima;patricia.lima@yahoo.com.br;Serra Talhada, PE;Técnica de Manutenção de Turbinas Eólicas
Gabriel Mendes;gabriel.mendes@gmail.com;Caetité, BA;Coordenador de Operações de Parque Solar
Aline Barbosa;aline.barbosa@outlook.com;Camocim, CE;Analista de Performance de Parques Solares
Rodrigo Nascimento;rodrigo.nascimento@yahoo.com.br;Uberaba, MG;Engenheiro de Interconexão
Vanessa Cardoso;vanessa.cardoso@gmail.com;Petrolina, PE;Gestora de O&M Solar
Fábio Moreira;fabio.moreira@outlook.com;Barreiras, BA;Especialista em SCADA
Isabela Freitas;isabela.freitas@yahoo.com.br;Sobral, CE;Planejadora de Manutenção
Diego Santana;diego.santana@gmail.com;Janaúba, MG;Analista de Projetos Solares
Letícia Gomes;leticia.gomes@outlook.com;Garanhuns, PE;Eletricista Fotovoltaica
Henrique Araújo;henrique.araujo@yahoo.com.br;Salvador, BA;Engenheiro de Energia Solar
Mariana Castro;mariana.castro@gmail.com;Fortaleza, CE;Analista de Viabilidade de Projetos Solares
Eduardo Pinto;eduardo.pinto@outlook.com;Pirapora, MG;Técnico de Manutenção de Turbinas Eólicas
Natália Teixeira;natalia.teixeira@yahoo.com.br;Recife, PE;Engenheira de Interconexão
João Pedro Silveira;joaopedro.silveira@gmail.com;Juazeiro, BA;Gestor de O&M Solar
Bruna Carvalho;bruna.carvalho@outlook.com;Caucaia, CE;Especialista em SCADA
Felipe Andrade;felipe.andrade@yahoo.com.br;Montes Claros, MG;Planejador de Manutenção
Daniela Lopes;daniela.lopes@gmail.com;Ipojuca, PE;Analista de Performance de Parques Eólicos
Rafael Cunha;rafael.cunha@outlook.com;Feira de Santana, BA;Engenheiro de Energia Eólica
Carla Menezes;carla.menezes@yahoo.com.br;Aracati, CE;Técnica de Manutenção de Turbinas Eólicas
Leonardo Brito;leonardo.brito@gmail.com;Uberlândia, MG;Analista de Licenciamento Ambiental – Renováveis
Juliane Silva;juliane.silva@outlook.com;Serra Talhada, PE;Engenheira de Interconexão
Matheus Oliveira;matheus.oliveira@yahoo.com.br;Caetité, BA;Gestor de O&M Solar
Paula Nunes;paula.nunes@gmail.com;Camocim, CE;Especialista em SCADA
Vinícius Ramos;vinicius.ramos@outlook.com;Belo Horizonte, MG;Planejador de Manutenção
Amanda Figueiredo;amanda.figueiredo@yahoo.com.br;Petrolina, PE;Analista de Projetos Solares
Gustavo Reis;gustavo.reis@gmail.com;Barreiras, BA;Eletricista Fotovoltaico
Larissa Monteiro;larissa.monteiro@outlook.com;Sobral, CE;Engenheira de Energia Solar
Pedro Henrique Dias;pedro.dias@yahoo.com.br;Uberaba, MG;Analista de Performance de Parques Solares
Simone Bastos;simone.bastos@gmail.com;Garanhuns, PE;Engenheira de Interconexão
Alexandre Vieira;alexandre.vieira@outlook.com;Salvador, BA;Técnico de Manutenção de Turbinas Eólicas
Débora Neves;debora.neves@yahoo.com.br;Fortaleza, CE;Analista de Viabilidade de Projetos Solares
Caio Barbosa;caio.barbosa@gmail.com;Pirapora, MG;Gestor de O&M Solar
Elaine Rocha;elaine.rocha@outlook.com;Recife, PE;Especialista em SCADA
Murilo Fernandes;murilo.fernandes@yahoo.com.br;Juazeiro, BA;Planejador de Manutenção
Tatiana Leal;tatiana.leal@gmail.com;Caucaia, CE;Analista de Projetos Solares
Fernando Queiroz;fernando.queiroz@outlook.com;Montes Claros, MG;Eletricista Fotovoltaico
Bianca Azevedo;bianca.azevedo@yahoo.com.br;Ipojuca, PE;Engenheira de Energia Eólica
Sérgio Matos;sergio.matos@gmail.com;Feira de Santana, BA;Analista de Licenciamento Ambiental – Renováveis
Luana Campos;luana.campos@outlook.com;Aracati, CE;Analista de Performance de Parques Eólicos
